"AIRPORT","n_rows","event_days","high_impact_days","avg_lf_pct","avg_event_lf_pct","avg_non_event_lf_pct","event_uplift_pct_pts","weekday_adjusted_event_excess","avg_high_impact_lf_pct","high_impact_uplift_pct_pts","weekday_adjusted_high_impact_excess","t_stat","p_value","event_names"
"TZX","573","114","19","80.55","82.85","79.98","2.87","2.35","77.03","-3.64","-4.05","3.388","0.000831","Yılbaşı ; Ramazan Bayramı 1. Gün | Ramazan Bayramı 2. Gün | Ramazan Bayramı 3. Gün ; Ramazan Bayramı 2. Gün | Ramazan Bayramı 3. Gün"
"UBN","518","0","0","82.59",,"82.59",,,,,,,,""
"UFA","3","0","0","35.37",,"35.37",,,,,,,,""
"UGC","272","0","0","73.53",,"73.53",,,,,,,,""
"UST","1","0","0","0",,"0",,,,,,,,""
"VAN","498","103","19","91.04","92.42","90.67","1.75","1.5","87.79","-3.38","-3.32","1.825","0.06982","Yılbaşı ; Ramazan Bayramı 1. Gün | Ramazan Bayramı 2. Gün | Ramazan Bayramı 3. Gün ; Ramazan Bayramı 2. Gün | Ramazan Bayramı 3. Gün"
"VAR","568","0","0","81.12",,"81.12",,,,,,,,""
"VAS","560","0","0","80.55",,"80.55",,,,,,,,""
"VCE","574","0","0","82.37",,"82.37",,,,,,,,""
"VCP","6","0","0","6.58",,"6.58",,,,,,,,""
"VIE","574","0","0","79.33",,"79.33",,,,,,,,""
"VIR","1","0","0","0",,"0",,,,,,,,""
"VKO","574","0","0","80.03",,"80.03",,,,,,,,""
"VLC","574","0","0","84.83",,"84.83",,,,,,,,""
"VNO","574","0","0","83.89",,"83.89",,,,,,,,""
"VRN","1","0","0","55.26",,"55.26",,,,,,,,""
"WAW","574","0","0","85.65",,"85.65",,,,,,,,""
"YEG","3","0","0","61.18",,"61.18",,,,,,,,""
"YEI","11","3","0","15.42","0","21.2","-21.2","0",,,,"-1.498","0.177923","Atatürk'ü Anma, Gençlik ve Spor Bayramı ; Yarıyıl tatili ; Gülşen | Yaz tatili"
"YHZ","1","0","0","0",,"0",,,,,,,,""
"YKO","306","0","0","91.67",,"91.67",,,,,,,,""
"YNB","76","0","0","76.02",,"76.02",,,,,,,,""
"YOW","1","0","0","99.43",,"99.43",,,,,,,,""
"YUL","252","0","0","87",,"87",,,,,,,,""
"YVR","255","0","0","87.87",,"87.87",,,,,,,,""
"YYR","3","0","0","70.06",,"70.06",,,,,,,,""
"YYT","1","0","0","0",,"0",,,,,,,,""
"YYZ","496","0","0","89.03",,"89.03",,,,,,,,""
"ZAG","574","0","0","78.23",,"78.23",,,,,,,,""
"ZNZ","573","0","0","60.58",,"60.58",,,,,,,,""
"ZRH","574","0","0","76.17",,"76.17",,,,,,,,""
